TIM 2409 M
TIM 1280 M
JEF 549 M
CHZ 494 M
CHZ 396 M
CAT 310 M
CAT 284 M
AAA 283 M
AAV 211 M
JEF 191 M
BOB 188 M
BOB 173 H
CHZ 162 M
JEF 145 M
TIM 145 H
CHZ 95 M
AAA 0 E
AAA 0 E
